ce worker worktree-prune: dry-run (670 candidate(s))
VERDICT      REASON             BRANCH                   PATH
REPORT_ONLY  dirty              ce-348-adr-0013-promote  /home/cedev2/creator-engine/.ce/wt-ce348-adr-0013-promote
REPORT_ONLY  dirty              ce-351-queue-daemon-relocation /home/cedev2/creator-engine/.ce/wt-ce351-harvest
REPORT_ONLY  unpushed-commits   ce-363-optionc-openshell-egress /home/cedev2/creator-engine/.ce/wt-ce363-harvest
REPORT_ONLY  too-new            ce-367-ce-native-init    /home/cedev2/creator-engine/.ce/wt-ce367-harvest
REPORT_ONLY  too-new            ce-370-prbody-local-parity /home/cedev2/creator-engine/.ce/wt-ce370-harvest
REPORT_ONLY  dirty              ce-374-prepitch-docs-slice /home/cedev2/creator-engine/.ce/wt-ce374-harvest
REPORT_ONLY  dirty              ce-379-workclass-choices-compat /home/cedev2/creator-engine/.ce/wt-ce379-harvest
REPORT_ONLY  dirty              ce-380-dgx-launcher-image-guard /home/cedev2/creator-engine/.ce/wt-ce380-harvest
REPORT_ONLY  unpushed-commits   ce-381-automerge-decide-pathset /home/cedev2/creator-engine/.ce/wt-ce381-review
REPORT_ONLY  too-new            ce-382-brain-drift-local-reconcile /home/cedev2/creator-engine/.ce/wt-ce382-harvest
REPORT_ONLY  too-new            ce-383-conveyor-argv-hardening /home/cedev2/creator-engine/.ce/wt-ce383-harvest
REPORT_ONLY  too-new            ce-388-payload-data-only /home/cedev2/creator-engine/.ce/wt-ce388-harvest
REPORT_ONLY  too-new            ce-391-triage-advisory-text /home/cedev2/creator-engine/.ce/wt-ce391-harvest
REPORT_ONLY  too-new            ce-402-preflight-failclosed /home/cedev2/creator-engine/.ce/wt-ce402r2-harvest
REPORT_ONLY  too-new            ce-403-scanner-hardening /home/cedev2/creator-engine/.ce/wt-ce403-harvest
REPORT_ONLY  too-new            ce-404-wall-remint-on-head-mismatch /home/cedev2/creator-engine/.ce/wt-ce404-remint-harvest
REPORT_ONLY  too-new            ce-407-pin-migration-s1  /home/cedev2/creator-engine/.ce/wt-ce407s1-harvest
REPORT_ONLY  too-new            ce-407-pin-migration-s2  /home/cedev2/creator-engine/.ce/wt-ce407s2-harvest
REPORT_ONLY  too-new            ce-410-alloc-core        /home/cedev2/creator-engine/.ce/wt-ce410s1-harvest
REPORT_ONLY  too-new            ce-410-conveyor-phase-authority /home/cedev2/creator-engine/.ce/wt-ce410s6-harvest
REPORT_ONLY  too-new            -                        /home/cedev2/creator-engine/.ce/wt-ce410s6-review
REPORT_ONLY  too-new            ce-412-automerge-tier-a  /home/cedev2/creator-engine/.ce/wt-ce412-harvest
REPORT_ONLY  too-new            ce-413-automerge-tier-b  /home/cedev2/creator-engine/.ce/wt-ce413-harvest
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce615-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce615-scrub
REPORT_ONLY  dirty              ce-orchestrator-record-schemas /home/cedev2/creator-engine/.ce/wt-ce616-harvest
REPORT_ONLY  dirty              ce-orchestrator-role-contract /home/cedev2/creator-engine/.ce/wt-ce616-orch1-harvest
REPORT_ONLY  dirty              ce-orchestrator-cockpit  /home/cedev2/creator-engine/.ce/wt-ce616-orch9-harvest
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce616-rereview
REPORT_ONLY  dirty              ce-orchestrator-agent-design /home/cedev2/creator-engine/.ce/wt-ce616-scrub
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce617-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce618-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce619-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce620-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce621-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce622-review
REPORT_ONLY  dirty              ce-automerge-actuator    /home/cedev2/creator-engine/.ce/wt-ce624-fix
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce624-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce625-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce626-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce627-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce628-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce629-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce630-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce631-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce632-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce633-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce634-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce635-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce636-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce637-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce638-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce639-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce640-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce641-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce642-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce643-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce644-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce645-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce646-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce647-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce648-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce649-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce650-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce651-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce652-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce656-review
